inventory_position,shop_domain,product_key,product_id,product_gid,Handle,product_url,collection_url,canonical_url,title_current,vendor,product_type,tags,published_at,created_at,updated_at,variant_count,image_count,first_image_url,min_price,max_price,available,source,discovery_status,processing_status,notes,discovered_at
31,jeminise.com,jeminise.com+christmas-cardinals-near-snowy-birdhouse-patchwork-floral-quilt-b90d55a935-b90d55a935,8834720170183,,christmas-cardinals-near-snowy-birdhouse-patchwork-floral-quilt-b90d55a935-b90d55a935,https://jeminise.com/products/christmas-cardinals-near-snowy-birdhouse-patchwork-floral-quilt-b90d55a935-b90d55a935,https://jeminise.com/collections/all/products/christmas-cardinals-near-snowy-birdhouse-patchwork-floral-quilt-b90d55a935-b90d55a935,,Christmas Cardinals Near Snowy Birdhouse Patchwork Floral Quilt,Jeminise,Quilt,"amazon-import, amazon-parent-b0djpc8jwx, Christmas Quilt, Custom Quilt, Personalized Blanket, Quilt Set, Wildlife Quilt",2026-07-26T17:08:22-05:00,2026-07-26T15:54:16-05:00,2026-09-06T11:40:41-05:00,15,7,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/cefa39b8e586dae0db27829a045f8d696721e4c0e044144b214323829fbee46b.jpg?v=1785099259,51.90,126.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
32,jeminise.com,jeminise.com+christmas-cardinals-on-snowy-branches-patchwork-winter-quilt-8fa1a9e2ed-8fa1a9e2ed,8834709323975,,christmas-cardinals-on-snowy-branches-patchwork-winter-quilt-8fa1a9e2ed-8fa1a9e2ed,https://jeminise.com/products/christmas-cardinals-on-snowy-branches-patchwork-winter-quilt-8fa1a9e2ed-8fa1a9e2ed,https://jeminise.com/collections/all/products/christmas-cardinals-on-snowy-branches-patchwork-winter-quilt-8fa1a9e2ed-8fa1a9e2ed,,Christmas Cardinals on Snowy Branches Patchwork Winter Quilt,Jeminise,Quilt,"amazon-import, amazon-parent-b0djpc8jwx, Christmas Quilt, Custom Blanket, Personalized Blanket, Quilt Set, Wildlife Quilt",2026-07-26T17:08:20-05:00,2026-07-26T15:49:20-05:00,2026-09-06T11:40:41-05:00,15,5,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/dac06806abe736aaddf0257ef47ee3581ffb682f1ee70078a493eb9381b34f9f.jpg?v=1785098963,51.90,126.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
33,jeminise.com,jeminise.com+cow-with-landscape-patchwork-quilt-animal-farmhouse-printed-quilt-set,8867095806151,,cow-with-landscape-patchwork-quilt-animal-farmhouse-printed-quilt-set,https://jeminise.com/products/cow-with-landscape-patchwork-quilt-animal-farmhouse-printed-quilt-set,https://jeminise.com/collections/all/products/cow-with-landscape-patchwork-quilt-animal-farmhouse-printed-quilt-set,,"Cow with Landscape Patchwork Quilt, Animal Farmhouse Printed Quilt Set",Jeminise,Quilt Sets,"amazon-import, amazon-parent-b0dr8q4jxb, Animal Quilt, Christmas Quilt, Cow Blanket, Dad Gift, Farmhouse Quilt, Mom Gift, Personalized Quilt, Quilt Set",2026-08-20T09:04:08-05:00,2026-08-20T08:48:53-05:00,2026-09-06T11:40:41-05:00,20,7,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/c125a162b81ac7a0917f20a9f0ef6de99ea1d1287c4b81750b47673eae384743.jpg?v=1787233735,54.90,124.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
34,jeminise.com,jeminise.com+crocodile-patchwork-printed-quilts-animal-patchwork-bedding,8867095445703,,crocodile-patchwork-printed-quilts-animal-patchwork-bedding,https://jeminise.com/products/crocodile-patchwork-printed-quilts-animal-patchwork-bedding,https://jeminise.com/collections/all/products/crocodile-patchwork-printed-quilts-animal-patchwork-bedding,,"Crocodile Patchwork Printed Quilts, Animal Patchwork Bedding",Jeminise,Quilt Sets,"amazon-import, amazon-parent-b0dr8q4jxb, Christmas Quilt, Custom Blanket, Dad Gift, Family Blanket, Mom Gift, Personalized Blanket, Quilt Set",2026-08-20T09:04:07-05:00,2026-08-20T08:48:30-05:00,2026-09-06T11:40:41-05:00,20,7,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/3c7bf8f759fde9a601188dc9ea3bfb0f79f2706824b7f370fe34e30020f2a202.jpg?v=1787233713,54.90,124.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
35,jeminise.com,jeminise.com+custom-retro-football-art-bedding-set-c66211cf75-c66211cf75,8834768699591,,custom-retro-football-art-bedding-set-c66211cf75-c66211cf75,https://jeminise.com/products/custom-retro-football-art-bedding-set-c66211cf75-c66211cf75,https://jeminise.com/collections/all/products/custom-retro-football-art-bedding-set-c66211cf75-c66211cf75,,Custom American Football Close Up on Flag Comforter,Jeminise,Comforter,"amazon-import, amazon-parent-b0drycbrpp, Boys Gift, Comforter Set, Custom Comforter, Personalized Bedding, Sports Comforter",2026-07-26T17:08:38-05:00,2026-07-26T16:38:42-05:00,2026-09-06T11:40:41-05:00,48,6,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/cd93064cff49abd094a4b54d4c8521f964011ef3177c132c9e7664b7ae385495.jpg?v=1785101924,36.90,151.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
36,jeminise.com,jeminise.com+custom-american-football-close-up-on-grunge-vintage-comforter-26540e3264-26540e3264,8834754445511,,custom-american-football-close-up-on-grunge-vintage-comforter-26540e3264-26540e3264,https://jeminise.com/products/custom-american-football-close-up-on-grunge-vintage-comforter-26540e3264-26540e3264,https://jeminise.com/collections/all/products/custom-american-football-close-up-on-grunge-vintage-comforter-26540e3264-26540e3264,,Custom American Football Close Up on Grunge Vintage Comforter,Jeminise,Comforter,"amazon-import, amazon-parent-b0drycbrpp, Comforter Set, Custom Blanket, Personalized Blanket, Sports Comforter",2026-07-26T17:08:29-05:00,2026-07-26T16:14:32-05:00,2026-09-06T11:40:41-05:00,48,6,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/11f76d2e307e1c50766e2c6b95e8a9272e0546226ca0a5996ceecb7ad1d1e36b.jpg?v=1785100474,36.90,151.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
37,jeminise.com,jeminise.com+custom-american-football-on-cosmic-background-vintage-comforter-62a3849621-62a3849621,8834752676039,,custom-american-football-on-cosmic-background-vintage-comforter-62a3849621-62a3849621,https://jeminise.com/products/custom-american-football-on-cosmic-background-vintage-comforter-62a3849621-62a3849621,https://jeminise.com/collections/all/products/custom-american-football-on-cosmic-background-vintage-comforter-62a3849621-62a3849621,,Custom American Football on Cosmic Background Vintage Comforter,Jeminise,Comforter,"amazon-import, amazon-parent-b0drycbrpp, Comforter Set, Custom Blanket, Personalized Blanket, Sports Bedding, Sports Comforter",2026-07-26T17:08:28-05:00,2026-07-26T16:11:33-05:00,2026-09-06T11:40:41-05:00,48,6,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/b38409cca05f668cdad57ab52d40b4b00fb8c161ab5af391eaf7a4ce3b8892f2.jpg?v=1785100295,36.90,151.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
38,jeminise.com,jeminise.com+custom-american-football-on-usa-flag-background-comforter-703a7c0d82-703a7c0d82,8834767421639,,custom-american-football-on-usa-flag-background-comforter-703a7c0d82-703a7c0d82,https://jeminise.com/products/custom-american-football-on-usa-flag-background-comforter-703a7c0d82-703a7c0d82,https://jeminise.com/collections/all/products/custom-american-football-on-usa-flag-background-comforter-703a7c0d82-703a7c0d82,,Custom American Football on Usa Flag Background Comforter,Jeminise,Comforter,"amazon-import, amazon-parent-b0drycbrpp, Comforter Set, Custom Blanket, Kids Bedding, Personalized Blanket, Sports Comforter, Sports Gifts",2026-07-26T17:08:37-05:00,2026-07-26T16:36:08-05:00,2026-09-06T11:40:41-05:00,48,6,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/e5722218140b0bda49ea2f5691bd969b1bc3066cad7c3a0bb0771d1509e66d50.jpg?v=1785101771,36.90,151.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
39,jeminise.com,jeminise.com+custom-american-football-with-paint-splash-background-vintage-comforter-da0e1d5bf1-da0e1d5bf1,8834773319879,,custom-american-football-with-paint-splash-background-vintage-comforter-da0e1d5bf1-da0e1d5bf1,https://jeminise.com/products/custom-american-football-with-paint-splash-background-vintage-comforter-da0e1d5bf1-da0e1d5bf1,https://jeminise.com/collections/all/products/custom-american-football-with-paint-splash-background-vintage-comforter-da0e1d5bf1-da0e1d5bf1,,Custom American Football with Paint Splash Background Vintage Comforter,Jeminise,Comforter,"amazon-import, amazon-parent-b0drycbrpp, Comforter Set, Custom Blanket, Personalized Blanket, Sports Comforter",2026-07-26T17:08:41-05:00,2026-07-26T16:45:10-05:00,2026-09-06T11:40:41-05:00,48,6,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/f9e8536c20f2dc19107c6fd69a43535c4bb88bac4323fd1ee6ac49a2601099d3.jpg?v=1785102312,36.90,151.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
40,jeminise.com,jeminise.com+custom-american-football-with-patriotic-flag-comforter-4a3a1ed3c9-4a3a1ed3c9,8834768011463,,custom-american-football-with-patriotic-flag-comforter-4a3a1ed3c9-4a3a1ed3c9,https://jeminise.com/products/custom-american-football-with-patriotic-flag-comforter-4a3a1ed3c9-4a3a1ed3c9,https://jeminise.com/collections/all/products/custom-american-football-with-patriotic-flag-comforter-4a3a1ed3c9-4a3a1ed3c9,,Custom American Football with Patriotic Flag Comforter,Jeminise,Comforter,"amazon-import, amazon-parent-b0drycbrpp, Comforter Set, Custom Blanket, Personalized Blanket, Sports Comforter",2026-07-26T17:08:37-05:00,2026-07-26T16:37:18-05:00,2026-09-06T11:40:41-05:00,48,6,https://cdn.shopify.com/s/files/1/0792/5098/1063/files/a6aedfb7f9b81449b401a91a0409992efbba09d035e85d8e5cc7da9802dc0589.jpg?v=1785101840,36.90,151.90,TRUE,collections/all/products.json,DISCOVERED,DISCOVERED,,2026-09-06T23:41:32.4166246+07:00
